latitude,longitude,ts
26.2745391,73.007504,2021-07-28 14:30:57.007
26.27457,73.0067539,2021-07-28 14:31:13.000
26.2745688,73.0067535,2021-07-28 14:31:25.232
26.2745581,73.0068539,2021-07-28 14:34:16.282
26.2745481,73.006864,2021-07-28 14:36:33.541
26.2818018,73.0047234,2021-07-28 14:36:46.200
23.0783122,72.5886893,2021-07-30 23:43:04.160
23.0773025,72.5887163,2021-07-30 23:43:24.673
23.0772981,72.5887154,2021-07-30 23:43:41.672
23.0772977,72.5887161,2021-07-30 23:44:00.314
23.0772998,72.5887153,2021-07-30 23:44:19.124
23.0771171,72.58974,2021-07-30 23:44:36.343
23.0772755,72.5888493,2021-07-30 23:44:55.556
23.0773131,72.5886482,2021-07-30 23:45:13.813
23.0773076,72.5886792,2021-07-30 23:45:32.015
23.0773008,72.5887242,2021-07-30 23:52:22.909
23.0772123,72.5889926,2021-07-30 23:52:42.000
23.0773097,72.5889557,2021-07-30 23:52:57.000
23.0772812,72.5889262,2021-07-30 23:53:11.375
23.0773026,72.5888903,2021-07-30 23:53:29.524
23.0772682,72.5888783,2021-07-30 23:53:47.644
23.0773476,72.5888807,2021-07-30 23:54:05.812
23.0772998,72.588718,2021-07-30 23:55:03.326
23.0776519,72.5890303,2021-07-30 23:55:34.823
23.077337,72.5891671,2021-07-30 23:55:52.000
